Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,company_ticker
2021-11-29 00:00:00-05:00,174.02680979444574,177.06317882347705,172.01221242715363,176.59085083007812,4374800,0.0,0.0,ADI
2021-11-30 00:00:00-05:00,176.02212948188438,177.61259790267485,172.4556142870471,173.7472686767578,4561800,0.0,0.0,ADI
2021-12-01 00:00:00-05:00,175.7040316494766,181.41045886369136,174.13283112590597,174.31597900390625,4831300,0.0,0.0,ADI
2021-12-02 00:00:00-05:00,174.1708538298774,176.61892076087008,172.23562212065653,174.78045654296875,3795600,0.69,0.0,ADI
2021-12-03 00:00:00-05:00,177.04466711546593,177.99292648147778,172.92262905269774,174.9352569580078,2958600,0.0,0.0,ADI
2021-12-06 00:00:00-05:00,176.41572332647408,176.7543800045658,170.48423362730418,175.19651794433594,3938200,0.0,0.0,ADI
2021-12-07 00:00:00-05:00,177.7220048832786,181.61182481066783,177.64459384200288,180.5958251953125,4850000,0.0,0.0,ADI
2021-12-08 00:00:00-05:00,179.74432620007494,180.47972374135077,178.36064253523782,180.22813415527344,3167800,0.0,0.0,ADI
2021-12-09 00:00:00-05:00,178.9411786574993,181.5827803607878,177.5381387329635,177.73165893554688,3457800,0.0,0.0,ADI
2021-12-10 00:00:00-05:00,180.37326710356535,180.4603489831522,175.2642567960987,177.48976135253906,2570800,0.0,0.0,ADI
2021-12-13 00:00:00-05:00,177.50910620721783,178.67992775999167,172.4484799738745,172.6903839111328,4457700,0.0,0.0,ADI
2021-12-14 00:00:00-05:00,171.21960510618388,172.46783769987945,167.96841557477515,170.57130432128906,3770900,0.0,0.0,ADI
2021-12-15 00:00:00-05:00,171.85825897314572,173.8612161896902,168.50063065055468,173.71607971191406,3598700,0.0,0.0,ADI
2021-12-16 00:00:00-05:00,174.31598574654117,174.9449448943881,166.5847447196299,167.010498046875,4817300,0.0,0.0,ADI
2021-12-17 00:00:00-05:00,165.57840661211574,166.83631007192787,163.5657640293453,164.6011199951172,7659800,0.0,0.0,ADI
2021-12-20 00:00:00-05:00,161.43699774195142,163.64316032804714,160.96287550449838,162.86907958984375,4087400,0.0,0.0,ADI
2021-12-21 00:00:00-05:00,164.61079080461616,166.75889900480405,163.45932567081826,166.50732421875,3018100,0.0,0.0,ADI
2021-12-22 00:00:00-05:00,166.09125196963527,167.029840509614,165.44295113273225,166.7105255126953,2025500,0.0,0.0,ADI
2021-12-23 00:00:00-05:00,167.20402336891638,168.7909127869082,166.98147585547292,167.0685577392578,2026200,0.0,0.0,ADI
2021-12-27 00:00:00-05:00,167.40721042749837,169.84560646768435,167.40721042749837,169.7875518798828,2134900,0.0,0.0,ADI
2021-12-28 00:00:00-05:00,170.70676343330445,171.0647765247722,168.39416245467982,168.7328338623047,1634800,0.0,0.0,ADI
2021-12-29 00:00:00-05:00,168.87799249675885,170.8325806406542,168.87799249675885,169.8359375,1685500,0.0,0.0,ADI
2021-12-30 00:00:00-05:00,170.30038076257628,171.22929842681611,168.81992977007323,169.11988830566406,1638600,0.0,0.0,ADI
2021-12-31 00:00:00-05:00,169.0908476523194,170.93899722739872,168.92635475111024,170.07781982421875,1917200,0.0,0.0,ADI
2022-01-03 00:00:00-05:00,169.49727166730224,171.8485859297042,169.09087477008453,171.41314697265625,2667500,0.0,0.0,ADI
2022-01-04 00:00:00-05:00,171.92597136813396,173.70639569348293,168.48126142014195,169.86495971679688,3889300,0.0,0.0,ADI
2022-01-05 00:00:00-05:00,169.6424040412043,171.442155201019,167.13626797344332,167.24270629882812,3655200,0.0,0.0,ADI
2022-01-06 00:00:00-05:00,167.49428502597488,169.29405083414247,166.46859997279392,167.77488708496094,3584400,0.0,0.0,ADI
2022-01-07 00:00:00-05:00,167.49430630880101,168.13292153634688,160.62422800051115,163.37225341796875,6747500,0.0,0.0,ADI
2022-01-10 00:00:00-05:00,162.66589540397638,165.20104411698583,160.0243083606305,164.88172912597656,6017100,0.0,0.0,ADI
2022-01-11 00:00:00-05:00,163.3045275937743,168.39418153902136,163.00456904912886,168.00714111328125,3789300,0.0,0.0,ADI
2022-01-12 00:00:00-05:00,169.7101191577562,169.7101191577562,166.40087519407058,168.12322998046875,1993400,0.0,0.0,ADI
2022-01-13 00:00:00-05:00,169.92303242337877,170.56166247455107,163.75932373325526,164.28182983398438,3954000,0.0,0.0,ADI
2022-01-14 00:00:00-05:00,162.95617922877642,166.54602555229957,162.64653508801305,166.42991638183594,2869600,0.0,0.0,ADI
2022-01-18 00:00:00-05:00,163.2271132109849,164.61079673106605,160.78871723777942,161.1080322265625,4160300,0.0,0.0,ADI
2022-01-19 00:00:00-05:00,161.68859477197606,163.32385295724953,157.6923370729208,157.7794189453125,3736600,0.0,0.0,ADI
2022-01-20 00:00:00-05:00,158.51481745211674,159.42436384448752,153.46386211329806,153.49288940429688,4021300,0.0,0.0,ADI
2022-01-21 00:00:00-05:00,153.67675207710724,157.41173497937083,151.8769860559614,154.3540802001953,5547500,0.0,0.0,ADI
2022-01-24 00:00:00-05:00,153.86058470666683,156.48283004946933,146.56476799220954,156.21189880371094,6665200,0.0,0.0,ADI
2022-01-25 00:00:00-05:00,152.29304243524072,154.42179413417543,150.38683822490034,150.7255096435547,4064200,0.0,0.0,ADI
2022-01-26 00:00:00-05:00,153.85090949619638,159.7533716783236,152.24466375290993,154.59597778320312,5850000,0.0,0.0,ADI
